codice_gestione,codice_voce,macro_categoria_v2
SP1,2.01.01.01.011,Trasferimenti correnti
SP3,2.01.01.01.011,Trasferimenti correnti
SP4,2.01.01.01.011,Trasferimenti correnti
SP7,2.01.01.01.011,Trasferimenti correnti
SP8,2.01.01.01.011,Trasferimenti correnti
UNI,2.01.01.01.011,Trasferimenti correnti
VCE,2.01.01.01.011,Trasferimenti correnti
VCF,2.01.01.01.011,Trasferimenti correnti
AAI,2.01.01.01.012,Trasferimenti correnti
ASP,2.01.01.01.012,Trasferimenti correnti
EPF,2.01.01.01.012,Trasferimenti correnti
FLS,2.01.01.01.012,Trasferimenti correnti
MON,2.01.01.01.012,Trasferimenti correnti
PRO,2.01.01.01.012,Trasferimenti correnti
REG,2.01.01.01.012,Trasferimenti correnti
RIC,2.01.01.01.012,Trasferimenti correnti
SP1,2.01.01.01.012,Trasferimenti correnti
SP3,2.01.01.01.012,Trasferimenti correnti
SP4,2.01.01.01.012,Trasferimenti correnti
SP7,2.01.01.01.012,Trasferimenti correnti
SP8,2.01.01.01.012,Trasferimenti correnti
UNI,2.01.01.01.012,Trasferimenti correnti
VCE,2.01.01.01.012,Trasferimenti correnti
VCF,2.01.01.01.012,Trasferimenti correnti
AAI,2.01.01.01.013,Trasferimenti correnti
ASP,2.01.01.01.013,Trasferimenti correnti
EPF,2.01.01.01.013,Trasferimenti correnti
FLS,2.01.01.01.013,Trasferimenti correnti
MON,2.01.01.01.013,Trasferimenti correnti
PRO,2.01.01.01.013,Trasferimenti correnti
REG,2.01.01.01.013,Trasferimenti correnti
RIC,2.01.01.01.013,Trasferimenti correnti
SP1,2.01.01.01.013,Trasferimenti correnti
SP3,2.01.01.01.013,Trasferimenti correnti
SP4,2.01.01.01.013,Trasferimenti correnti
SP7,2.01.01.01.013,Trasferimenti correnti
SP8,2.01.01.01.013,Trasferimenti correnti
UNI,2.01.01.01.013,Trasferimenti correnti
VCE,2.01.01.01.013,Trasferimenti correnti
VCF,2.01.01.01.013,Trasferimenti correnti
EPF,2.01.01.01.014,Trasferimenti correnti
MON,2.01.01.01.014,Trasferimenti correnti
PRO,2.01.01.01.014,Trasferimenti correnti
REG,2.01.01.01.014,Trasferimenti correnti
SP1,2.01.01.01.014,Trasferimenti correnti
SP3,2.01.01.01.014,Trasferimenti correnti
SP7,2.01.01.01.014,Trasferimenti correnti
SP8,2.01.01.01.014,Trasferimenti correnti
UNI,2.01.01.01.014,Trasferimenti correnti
EPF,2.01.01.01.015,Trasferimenti correnti
MON,2.01.01.01.015,Trasferimenti correnti
PRO,2.01.01.01.015,Trasferimenti correnti
REG,2.01.01.01.015,Trasferimenti correnti
AAI,2.01.01.01.999,Trasferimenti correnti
ASP,2.01.01.01.999,Trasferimenti correnti
EPF,2.01.01.01.999,Trasferimenti correnti
FLS,2.01.01.01.999,Trasferimenti correnti
MON,2.01.01.01.999,Trasferimenti correnti
PRO,2.01.01.01.999,Trasferimenti correnti
REG,2.01.01.01.999,Trasferimenti correnti
RIC,2.01.01.01.999,Trasferimenti correnti
SP1,2.01.01.01.999,Trasferimenti correnti
SP3,2.01.01.01.999,Trasferimenti correnti
SP4,2.01.01.01.999,Trasferimenti correnti
SP7,2.01.01.01.999,Trasferimenti correnti
SP8,2.01.01.01.999,Trasferimenti correnti
UNI,2.01.01.01.999,Trasferimenti correnti
VCE,2.01.01.01.999,Trasferimenti correnti
VCF,2.01.01.01.999,Trasferimenti correnti
AAI,2.01.01.02.001,Trasferimenti correnti
ASP,2.01.01.02.001,Trasferimenti correnti
EPF,2.01.01.02.001,Trasferimenti correnti
FLS,2.01.01.02.001,Trasferimenti correnti
MON,2.01.01.02.001,Trasferimenti correnti
PRO,2.01.01.02.001,Trasferimenti correnti
REG,2.01.01.02.001,Trasferimenti correnti
RIC,2.01.01.02.001,Trasferimenti correnti
SP1,2.01.01.02.001,Trasferimenti correnti
SP3,2.01.01.02.001,Trasferimenti correnti
SP4,2.01.01.02.001,Trasferimenti correnti
SP7,2.01.01.02.001,Trasferimenti correnti
SP8,2.01.01.02.001,Trasferimenti correnti
UNI,2.01.01.02.001,Trasferimenti correnti
VCE,2.01.01.02.001,Trasferimenti correnti
VCF,2.01.01.02.001,Trasferimenti correnti
AAI,2.01.01.02.002,Trasferimenti correnti
ASP,2.01.01.02.002,Trasferimenti correnti
EPF,2.01.01.02.002,Trasferimenti correnti
FLS,2.01.01.02.002,Trasferimenti correnti
MON,2.01.01.02.002,Trasferimenti correnti
PRO,2.01.01.02.002,Trasferimenti correnti
REG,2.01.01.02.002,Trasferimenti correnti
RIC,2.01.01.02.002,Trasferimenti correnti
SP1,2.01.01.02.002,Trasferimenti correnti
SP3,2.01.01.02.002,Trasferimenti correnti
SP4,2.01.01.02.002,Trasferimenti correnti
SP7,2.01.01.02.002,Trasferimenti correnti
SP8,2.01.01.02.002,Trasferimenti correnti
UNI,2.01.01.02.002,Trasferimenti correnti
VCE,2.01.01.02.002,Trasferimenti correnti
VCF,2.01.01.02.002,Trasferimenti correnti
AAI,2.01.01.02.003,Trasferimenti correnti
ASP,2.01.01.02.003,Trasferimenti correnti
EPF,2.01.01.02.003,Trasferimenti correnti
FLS,2.01.01.02.003,Trasferimenti correnti
MON,2.01.01.02.003,Trasferimenti correnti
PRO,2.01.01.02.003,Trasferimenti correnti
REG,2.01.01.02.003,Trasferimenti correnti
RIC,2.01.01.02.003,Trasferimenti correnti
SP1,2.01.01.02.003,Trasferimenti correnti
SP3,2.01.01.02.003,Trasferimenti correnti
SP4,2.01.01.02.003,Trasferimenti correnti
SP7,2.01.01.02.003,Trasferimenti correnti
SP8,2.01.01.02.003,Trasferimenti correnti
UNI,2.01.01.02.003,Trasferimenti correnti
VCE,2.01.01.02.003,Trasferimenti correnti
VCF,2.01.01.02.003,Trasferimenti correnti
AAI,2.01.01.02.004,Trasferimenti correnti
ASP,2.01.01.02.004,Trasferimenti correnti
EPF,2.01.01.02.004,Trasferimenti correnti
FLS,2.01.01.02.004,Trasferimenti correnti
MON,2.01.01.02.004,Trasferimenti correnti
PRO,2.01.01.02.004,Trasferimenti correnti
REG,2.01.01.02.004,Trasferimenti correnti
RIC,2.01.01.02.004,Trasferimenti correnti
SP1,2.01.01.02.004,Trasferimenti correnti
SP3,2.01.01.02.004,Trasferimenti correnti
SP4,2.01.01.02.004,Trasferimenti correnti
SP7,2.01.01.02.004,Trasferimenti correnti
SP8,2.01.01.02.004,Trasferimenti correnti
UNI,2.01.01.02.004,Trasferimenti correnti
VCE,2.01.01.02.004,Trasferimenti correnti
VCF,2.01.01.02.004,Trasferimenti correnti
AAI,2.01.01.02.005,Trasferimenti correnti
ASP,2.01.01.02.005,Trasferimenti correnti
EPF,2.01.01.02.005,Trasferimenti correnti
FLS,2.01.01.02.005,Trasferimenti correnti
MON,2.01.01.02.005,Trasferimenti correnti
PRO,2.01.01.02.005,Trasferimenti correnti
REG,2.01.01.02.005,Trasferimenti correnti
RIC,2.01.01.02.005,Trasferimenti correnti
SP1,2.01.01.02.005,Trasferimenti correnti
SP3,2.01.01.02.005,Trasferimenti correnti
SP4,2.01.01.02.005,Trasferimenti correnti
SP7,2.01.01.02.005,Trasferimenti correnti
SP8,2.01.01.02.005,Trasferimenti correnti
UNI,2.01.01.02.005,Trasferimenti correnti
VCE,2.01.01.02.005,Trasferimenti correnti
VCF,2.01.01.02.005,Trasferimenti correnti
AAI,2.01.01.02.006,Trasferimenti correnti
ASP,2.01.01.02.006,Trasferimenti correnti
EPF,2.01.01.02.006,Trasferimenti correnti
FLS,2.01.01.02.006,Trasferimenti correnti
MON,2.01.01.02.006,Trasferimenti correnti
PRO,2.01.01.02.006,Trasferimenti correnti
REG,2.01.01.02.006,Trasferimenti correnti
RIC,2.01.01.02.006,Trasferimenti correnti
SP1,2.01.01.02.006,Trasferimenti correnti
SP3,2.01.01.02.006,Trasferimenti correnti
SP4,2.01.01.02.006,Trasferimenti correnti
SP7,2.01.01.02.006,Trasferimenti correnti
SP8,2.01.01.02.006,Trasferimenti correnti
UNI,2.01.01.02.006,Trasferimenti correnti
VCE,2.01.01.02.006,Trasferimenti correnti
VCF,2.01.01.02.006,Trasferimenti correnti
AAI,2.01.01.02.007,Trasferimenti correnti
ASP,2.01.01.02.007,Trasferimenti correnti
EPF,2.01.01.02.007,Trasferimenti correnti
FLS,2.01.01.02.007,Trasferimenti correnti
MON,2.01.01.02.007,Trasferimenti correnti
PRO,2.01.01.02.007,Trasferimenti correnti
REG,2.01.01.02.007,Trasferimenti correnti
RIC,2.01.01.02.007,Trasferimenti correnti
SP1,2.01.01.02.007,Trasferimenti correnti
SP3,2.01.01.02.007,Trasferimenti correnti
SP4,2.01.01.02.007,Trasferimenti correnti
SP7,2.01.01.02.007,Trasferimenti correnti
SP8,2.01.01.02.007,Trasferimenti correnti
UNI,2.01.01.02.007,Trasferimenti correnti
VCE,2.01.01.02.007,Trasferimenti correnti
VCF,2.01.01.02.007,Trasferimenti correnti
AAI,2.01.01.02.008,Trasferimenti correnti
ASP,2.01.01.02.008,Trasferimenti correnti
EPF,2.01.01.02.008,Trasferimenti correnti
FLS,2.01.01.02.008,Trasferimenti correnti
MON,2.01.01.02.008,Trasferimenti correnti
PRO,2.01.01.02.008,Trasferimenti correnti
REG,2.01.01.02.008,Trasferimenti correnti
RIC,2.01.01.02.008,Trasferimenti correnti
SP1,2.01.01.02.008,Trasferimenti correnti
SP3,2.01.01.02.008,Trasferimenti correnti
SP4,2.01.01.02.008,Trasferimenti correnti
SP7,2.01.01.02.008,Trasferimenti correnti
SP8,2.01.01.02.008,Trasferimenti correnti
UNI,2.01.01.02.008,Trasferimenti correnti
VCE,2.01.01.02.008,Trasferimenti correnti
VCF,2.01.01.02.008,Trasferimenti correnti
AAI,2.01.01.02.009,Trasferimenti correnti
ASP,2.01.01.02.009,Trasferimenti correnti
EPF,2.01.01.02.009,Trasferimenti correnti
FLS,2.01.01.02.009,Trasferimenti correnti
MON,2.01.01.02.009,Trasferimenti correnti
PRO,2.01.01.02.009,Trasferimenti correnti
REG,2.01.01.02.009,Trasferimenti correnti
RIC,2.01.01.02.009,Trasferimenti correnti
SP1,2.01.01.02.009,Trasferimenti correnti
SP3,2.01.01.02.009,Trasferimenti correnti
SP4,2.01.01.02.009,Trasferimenti correnti
SP7,2.01.01.02.009,Trasferimenti correnti
SP8,2.01.01.02.009,Trasferimenti correnti
UNI,2.01.01.02.009,Trasferimenti correnti
VCE,2.01.01.02.009,Trasferimenti correnti
VCF,2.01.01.02.009,Trasferimenti correnti
AAI,2.01.01.02.010,Trasferimenti correnti
ASP,2.01.01.02.010,Trasferimenti correnti
EPF,2.01.01.02.010,Trasferimenti correnti
FLS,2.01.01.02.010,Trasferimenti correnti
MON,2.01.01.02.010,Trasferimenti correnti
PRO,2.01.01.02.010,Trasferimenti correnti
REG,2.01.01.02.010,Trasferimenti correnti
RIC,2.01.01.02.010,Trasferimenti correnti
SP1,2.01.01.02.010,Trasferimenti correnti
SP3,2.01.01.02.010,Trasferimenti correnti
SP4,2.01.01.02.010,Trasferimenti correnti
SP7,2.01.01.02.010,Trasferimenti correnti
SP8,2.01.01.02.010,Trasferimenti correnti
UNI,2.01.01.02.010,Trasferimenti correnti
VCE,2.01.01.02.010,Trasferimenti correnti
VCF,2.01.01.02.010,Trasferimenti correnti
AAI,2.01.01.02.011,Trasferimenti correnti
ASP,2.01.01.02.011,Trasferimenti correnti
EPF,2.01.01.02.011,Trasferimenti correnti
FLS,2.01.01.02.011,Trasferimenti correnti
MON,2.01.01.02.011,Trasferimenti correnti
PRO,2.01.01.02.011,Trasferimenti correnti
REG,2.01.01.02.011,Trasferimenti correnti
RIC,2.01.01.02.011,Trasferimenti correnti
SP1,2.01.01.02.011,Trasferimenti correnti
SP3,2.01.01.02.011,Trasferimenti correnti
SP4,2.01.01.02.011,Trasferimenti correnti
SP7,2.01.01.02.011,Trasferimenti correnti
SP8,2.01.01.02.011,Trasferimenti correnti
UNI,2.01.01.02.011,Trasferimenti correnti
VCE,2.01.01.02.011,Trasferimenti correnti
VCF,2.01.01.02.011,Trasferimenti correnti
AAI,2.01.01.02.012,Trasferimenti correnti
ASP,2.01.01.02.012,Trasferimenti correnti
EPF,2.01.01.02.012,Trasferimenti correnti
FLS,2.01.01.02.012,Trasferimenti correnti
MON,2.01.01.02.012,Trasferimenti correnti
PRO,2.01.01.02.012,Trasferimenti correnti
REG,2.01.01.02.012,Trasferimenti correnti
RIC,2.01.01.02.012,Trasferimenti correnti
SP1,2.01.01.02.012,Trasferimenti correnti
SP3,2.01.01.02.012,Trasferimenti correnti
SP4,2.01.01.02.012,Trasferimenti correnti
SP7,2.01.01.02.012,Trasferimenti correnti
SP8,2.01.01.02.012,Trasferimenti correnti
UNI,2.01.01.02.012,Trasferimenti correnti
VCE,2.01.01.02.012,Trasferimenti correnti
VCF,2.01.01.02.012,Trasferimenti correnti
AAI,2.01.01.02.013,Trasferimenti correnti
ASP,2.01.01.02.013,Trasferimenti correnti
EPF,2.01.01.02.013,Trasferimenti correnti
FLS,2.01.01.02.013,Trasferimenti correnti
MON,2.01.01.02.013,Trasferimenti correnti
PRO,2.01.01.02.013,Trasferimenti correnti
REG,2.01.01.02.013,Trasferimenti correnti
RIC,2.01.01.02.013,Trasferimenti correnti
SP1,2.01.01.02.013,Trasferimenti correnti
SP3,2.01.01.02.013,Trasferimenti correnti
SP4,2.01.01.02.013,Trasferimenti correnti
SP7,2.01.01.02.013,Trasferimenti correnti
SP8,2.01.01.02.013,Trasferimenti correnti
UNI,2.01.01.02.013,Trasferimenti correnti
VCE,2.01.01.02.013,Trasferimenti correnti
VCF,2.01.01.02.013,Trasferimenti correnti
AAI,2.01.01.02.014,Trasferimenti correnti
ASP,2.01.01.02.014,Trasferimenti correnti
EPF,2.01.01.02.014,Trasferimenti correnti
FLS,2.01.01.02.014,Trasferimenti correnti
MON,2.01.01.02.014,Trasferimenti correnti
PRO,2.01.01.02.014,Trasferimenti correnti
REG,2.01.01.02.014,Trasferimenti correnti
RIC,2.01.01.02.014,Trasferimenti correnti
SP1,2.01.01.02.014,Trasferimenti correnti
SP3,2.01.01.02.014,Trasferimenti correnti
SP4,2.01.01.02.014,Trasferimenti correnti
SP7,2.01.01.02.014,Trasferimenti correnti
SP8,2.01.01.02.014,Trasferimenti correnti
UNI,2.01.01.02.014,Trasferimenti correnti
VCE,2.01.01.02.014,Trasferimenti correnti
VCF,2.01.01.02.014,Trasferimenti correnti
AAI,2.01.01.02.015,Trasferimenti correnti
ASP,2.01.01.02.015,Trasferimenti correnti
EPF,2.01.01.02.015,Trasferimenti correnti
FLS,2.01.01.02.015,Trasferimenti correnti
MON,2.01.01.02.015,Trasferimenti correnti
PRO,2.01.01.02.015,Trasferimenti correnti
REG,2.01.01.02.015,Trasferimenti correnti
RIC,2.01.01.02.015,Trasferimenti correnti
SP1,2.01.01.02.015,Trasferimenti correnti
SP3,2.01.01.02.015,Trasferimenti correnti
SP4,2.01.01.02.015,Trasferimenti correnti
SP7,2.01.01.02.015,Trasferimenti correnti
SP8,2.01.01.02.015,Trasferimenti correnti
UNI,2.01.01.02.015,Trasferimenti correnti
VCE,2.01.01.02.015,Trasferimenti correnti
VCF,2.01.01.02.015,Trasferimenti correnti
AAI,2.01.01.02.016,Trasferimenti correnti
ASP,2.01.01.02.016,Trasferimenti correnti
EPF,2.01.01.02.016,Trasferimenti correnti
FLS,2.01.01.02.016,Trasferimenti correnti
MON,2.01.01.02.016,Trasferimenti correnti
PRO,2.01.01.02.016,Trasferimenti correnti
REG,2.01.01.02.016,Trasferimenti correnti
RIC,2.01.01.02.016,Trasferimenti correnti
SP1,2.01.01.02.016,Trasferimenti correnti
SP3,2.01.01.02.016,Trasferimenti correnti
SP4,2.01.01.02.016,Trasferimenti correnti
SP7,2.01.01.02.016,Trasferimenti correnti
SP8,2.01.01.02.016,Trasferimenti correnti
UNI,2.01.01.02.016,Trasferimenti correnti
VCE,2.01.01.02.016,Trasferimenti correnti
VCF,2.01.01.02.016,Trasferimenti correnti
AAI,2.01.01.02.017,Trasferimenti correnti
ASP,2.01.01.02.017,Trasferimenti correnti
EPF,2.01.01.02.017,Trasferimenti correnti
FLS,2.01.01.02.017,Trasferimenti correnti
MON,2.01.01.02.017,Trasferimenti correnti
PRO,2.01.01.02.017,Trasferimenti correnti
REG,2.01.01.02.017,Trasferimenti correnti
RIC,2.01.01.02.017,Trasferimenti correnti
SP1,2.01.01.02.017,Trasferimenti correnti
SP3,2.01.01.02.017,Trasferimenti correnti
SP4,2.01.01.02.017,Trasferimenti correnti
SP7,2.01.01.02.017,Trasferimenti correnti
SP8,2.01.01.02.017,Trasferimenti correnti
UNI,2.01.01.02.017,Trasferimenti correnti
VCE,2.01.01.02.017,Trasferimenti correnti
VCF,2.01.01.02.017,Trasferimenti correnti
AAI,2.01.01.02.018,Trasferimenti correnti
ASP,2.01.01.02.018,Trasferimenti correnti
EPF,2.01.01.02.018,Trasferimenti correnti
FLS,2.01.01.02.018,Trasferimenti correnti
MON,2.01.01.02.018,Trasferimenti correnti
PRO,2.01.01.02.018,Trasferimenti correnti
REG,2.01.01.02.018,Trasferimenti correnti
RIC,2.01.01.02.018,Trasferimenti correnti
SP1,2.01.01.02.018,Trasferimenti correnti
SP3,2.01.01.02.018,Trasferimenti correnti
SP4,2.01.01.02.018,Trasferimenti correnti
SP7,2.01.01.02.018,Trasferimenti correnti
SP8,2.01.01.02.018,Trasferimenti correnti
UNI,2.01.01.02.018,Trasferimenti correnti
VCE,2.01.01.02.018,Trasferimenti correnti
VCF,2.01.01.02.018,Trasferimenti correnti
AAI,2.01.01.02.019,Trasferimenti correnti
ASP,2.01.01.02.019,Trasferimenti correnti
EPF,2.01.01.02.019,Trasferimenti correnti
FLS,2.01.01.02.019,Trasferimenti correnti
MON,2.01.01.02.019,Trasferimenti correnti
PRO,2.01.01.02.019,Trasferimenti correnti
REG,2.01.01.02.019,Trasferimenti correnti
RIC,2.01.01.02.019,Trasferimenti correnti
SP1,2.01.01.02.019,Trasferimenti correnti
SP3,2.01.01.02.019,Trasferimenti correnti
SP4,2.01.01.02.019,Trasferimenti correnti
SP7,2.01.01.02.019,Trasferimenti correnti
SP8,2.01.01.02.019,Trasferimenti correnti
UNI,2.01.01.02.019,Trasferimenti correnti
VCE,2.01.01.02.019,Trasferimenti correnti
VCF,2.01.01.02.019,Trasferimenti correnti
AAI,2.01.01.02.999,Trasferimenti correnti
ASP,2.01.01.02.999,Trasferimenti correnti
EPF,2.01.01.02.999,Trasferimenti correnti
FLS,2.01.01.02.999,Trasferimenti correnti
MON,2.01.01.02.999,Trasferimenti correnti
PRO,2.01.01.02.999,Trasferimenti correnti
REG,2.01.01.02.999,Trasferimenti correnti
RIC,2.01.01.02.999,Trasferimenti correnti
SP1,2.01.01.02.999,Trasferimenti correnti
SP3,2.01.01.02.999,Trasferimenti correnti
SP4,2.01.01.02.999,Trasferimenti correnti
SP7,2.01.01.02.999,Trasferimenti correnti
SP8,2.01.01.02.999,Trasferimenti correnti
UNI,2.01.01.02.999,Trasferimenti correnti
VCE,2.01.01.02.999,Trasferimenti correnti
VCF,2.01.01.02.999,Trasferimenti correnti
AAI,2.01.01.03.001,Trasferimenti correnti
ASP,2.01.01.03.001,Trasferimenti correnti
EPF,2.01.01.03.001,Trasferimenti correnti
FLS,2.01.01.03.001,Trasferimenti correnti
MON,2.01.01.03.001,Trasferimenti correnti
PRO,2.01.01.03.001,Trasferimenti correnti
REG,2.01.01.03.001,Trasferimenti correnti
RIC,2.01.01.03.001,Trasferimenti correnti
SP1,2.01.01.03.001,Trasferimenti correnti
SP3,2.01.01.03.001,Trasferimenti correnti
SP4,2.01.01.03.001,Trasferimenti correnti
SP7,2.01.01.03.001,Trasferimenti correnti
SP8,2.01.01.03.001,Trasferimenti correnti
UNI,2.01.01.03.001,Trasferimenti correnti
VCE,2.01.01.03.001,Trasferimenti correnti
VCF,2.01.01.03.001,Trasferimenti correnti
AAI,2.01.01.03.002,Trasferimenti correnti
ASP,2.01.01.03.002,Trasferimenti correnti
EPF,2.01.01.03.002,Trasferimenti correnti
FLS,2.01.01.03.002,Trasferimenti correnti
MON,2.01.01.03.002,Trasferimenti correnti
PRO,2.01.01.03.002,Trasferimenti correnti
REG,2.01.01.03.002,Trasferimenti correnti
RIC,2.01.01.03.002,Trasferimenti correnti
SP1,2.01.01.03.002,Trasferimenti correnti
SP3,2.01.01.03.002,Trasferimenti correnti
SP4,2.01.01.03.002,Trasferimenti correnti
SP7,2.01.01.03.002,Trasferimenti correnti
SP8,2.01.01.03.002,Trasferimenti correnti
UNI,2.01.01.03.002,Trasferimenti correnti
VCE,2.01.01.03.002,Trasferimenti correnti
VCF,2.01.01.03.002,Trasferimenti correnti
AAI,2.01.01.03.999,Trasferimenti correnti
ASP,2.01.01.03.999,Trasferimenti correnti
EPF,2.01.01.03.999,Trasferimenti correnti
FLS,2.01.01.03.999,Trasferimenti correnti
MON,2.01.01.03.999,Trasferimenti correnti
PRO,2.01.01.03.999,Trasferimenti correnti
REG,2.01.01.03.999,Trasferimenti correnti
RIC,2.01.01.03.999,Trasferimenti correnti
SP1,2.01.01.03.999,Trasferimenti correnti
SP3,2.01.01.03.999,Trasferimenti correnti
SP4,2.01.01.03.999,Trasferimenti correnti
SP7,2.01.01.03.999,Trasferimenti correnti
SP8,2.01.01.03.999,Trasferimenti correnti
UNI,2.01.01.03.999,Trasferimenti correnti
VCE,2.01.01.03.999,Trasferimenti correnti
VCF,2.01.01.03.999,Trasferimenti correnti
AAI,2.01.01.04.001,Trasferimenti correnti
ASP,2.01.01.04.001,Trasferimenti correnti
EPF,2.01.01.04.001,Trasferimenti correnti
FLS,2.01.01.04.001,Trasferimenti correnti
MON,2.01.01.04.001,Trasferimenti correnti
PRO,2.01.01.04.001,Trasferimenti correnti
REG,2.01.01.04.001,Trasferimenti correnti
SP1,2.01.01.04.001,Trasferimenti correnti
SP3,2.01.01.04.001,Trasferimenti correnti
SP8,2.01.01.04.001,Trasferimenti correnti
VCE,2.01.01.04.001,Trasferimenti correnti
VCF,2.01.01.04.001,Trasferimenti correnti
AAI,2.01.02.01.001,Trasferimenti correnti
ASP,2.01.02.01.001,Trasferimenti correnti
EPF,2.01.02.01.001,Trasferimenti correnti
FLS,2.01.02.01.001,Trasferimenti correnti
MON,2.01.02.01.001,Trasferimenti correnti
PRO,2.01.02.01.001,Trasferimenti correnti
REG,2.01.02.01.001,Trasferimenti correnti
RIC,2.01.02.01.001,Trasferimenti correnti
SP1,2.01.02.01.001,Trasferimenti correnti
SP3,2.01.02.01.001,Trasferimenti correnti
SP4,2.01.02.01.001,Trasferimenti correnti
SP7,2.01.02.01.001,Trasferimenti correnti
SP8,2.01.02.01.001,Trasferimenti correnti
UNI,2.01.02.01.001,Trasferimenti correnti
VCE,2.01.02.01.001,Trasferimenti correnti
VCF,2.01.02.01.001,Trasferimenti correnti
AAI,2.01.03.01.001,Trasferimenti correnti
ASP,2.01.03.01.001,Trasferimenti correnti
EPF,2.01.03.01.001,Trasferimenti correnti
FLS,2.01.03.01.001,Trasferimenti correnti
MON,2.01.03.01.001,Trasferimenti correnti
PRO,2.01.03.01.001,Trasferimenti correnti
REG,2.01.03.01.001,Trasferimenti correnti
RIC,2.01.03.01.001,Trasferimenti correnti
SP1,2.01.03.01.001,Trasferimenti correnti
SP3,2.01.03.01.001,Trasferimenti correnti
SP4,2.01.03.01.001,Trasferimenti correnti
SP7,2.01.03.01.001,Trasferimenti correnti
SP8,2.01.03.01.001,Trasferimenti correnti
UNI,2.01.03.01.001,Trasferimenti correnti
VCE,2.01.03.01.001,Trasferimenti correnti
VCF,2.01.03.01.001,Trasferimenti correnti
AAI,2.01.03.01.002,Trasferimenti correnti
ASP,2.01.03.01.002,Trasferimenti correnti
EPF,2.01.03.01.002,Trasferimenti correnti
FLS,2.01.03.01.002,Trasferimenti correnti
MON,2.01.03.01.002,Trasferimenti correnti
PRO,2.01.03.01.002,Trasferimenti correnti
REG,2.01.03.01.002,Trasferimenti correnti
RIC,2.01.03.01.002,Trasferimenti correnti
SP1,2.01.03.01.002,Trasferimenti correnti
SP3,2.01.03.01.002,Trasferimenti correnti
SP4,2.01.03.01.002,Trasferimenti correnti
SP7,2.01.03.01.002,Trasferimenti correnti
SP8,2.01.03.01.002,Trasferimenti correnti
UNI,2.01.03.01.002,Trasferimenti correnti
VCE,2.01.03.01.002,Trasferimenti correnti
VCF,2.01.03.01.002,Trasferimenti correnti
AAI,2.01.03.01.999,Trasferimenti correnti
ASP,2.01.03.01.999,Trasferimenti correnti
EPF,2.01.03.01.999,Trasferimenti correnti
FLS,2.01.03.01.999,Trasferimenti correnti
MON,2.01.03.01.999,Trasferimenti correnti
PRO,2.01.03.01.999,Trasferimenti correnti
REG,2.01.03.01.999,Trasferimenti correnti
RIC,2.01.03.01.999,Trasferimenti correnti
SP1,2.01.03.01.999,Trasferimenti correnti
SP3,2.01.03.01.999,Trasferimenti correnti
SP4,2.01.03.01.999,Trasferimenti correnti
SP7,2.01.03.01.999,Trasferimenti correnti
SP8,2.01.03.01.999,Trasferimenti correnti
UNI,2.01.03.01.999,Trasferimenti correnti
VCE,2.01.03.01.999,Trasferimenti correnti
VCF,2.01.03.01.999,Trasferimenti correnti
AAI,2.01.03.02.001,Trasferimenti correnti
ASP,2.01.03.02.001,Trasferimenti correnti
EPF,2.01.03.02.001,Trasferimenti correnti
FLS,2.01.03.02.001,Trasferimenti correnti
MON,2.01.03.02.001,Trasferimenti correnti
PRO,2.01.03.02.001,Trasferimenti correnti
REG,2.01.03.02.001,Trasferimenti correnti
RIC,2.01.03.02.001,Trasferimenti correnti
SP1,2.01.03.02.001,Trasferimenti correnti
SP3,2.01.03.02.001,Trasferimenti correnti
SP4,2.01.03.02.001,Trasferimenti correnti
SP7,2.01.03.02.001,Trasferimenti correnti
SP8,2.01.03.02.001,Trasferimenti correnti
UNI,2.01.03.02.001,Trasferimenti correnti
VCE,2.01.03.02.001,Trasferimenti correnti
VCF,2.01.03.02.001,Trasferimenti correnti
AAI,2.01.03.02.002,Trasferimenti correnti
ASP,2.01.03.02.002,Trasferimenti correnti
EPF,2.01.03.02.002,Trasferimenti correnti
FLS,2.01.03.02.002,Trasferimenti correnti
MON,2.01.03.02.002,Trasferimenti correnti
PRO,2.01.03.02.002,Trasferimenti correnti
REG,2.01.03.02.002,Trasferimenti correnti
RIC,2.01.03.02.002,Trasferimenti correnti
SP1,2.01.03.02.002,Trasferimenti correnti
SP3,2.01.03.02.002,Trasferimenti correnti
SP4,2.01.03.02.002,Trasferimenti correnti
SP7,2.01.03.02.002,Trasferimenti correnti
SP8,2.01.03.02.002,Trasferimenti correnti
UNI,2.01.03.02.002,Trasferimenti correnti
VCE,2.01.03.02.002,Trasferimenti correnti
VCF,2.01.03.02.002,Trasferimenti correnti
EPF,2.01.03.02.003,Trasferimenti correnti
MON,2.01.03.02.003,Trasferimenti correnti
PRO,2.01.03.02.003,Trasferimenti correnti
REG,2.01.03.02.003,Trasferimenti correnti
SP1,2.01.03.02.003,Trasferimenti correnti
SP3,2.01.03.02.003,Trasferimenti correnti
SP8,2.01.03.02.003,Trasferimenti correnti
EPF,2.01.03.02.004,Trasferimenti correnti
MON,2.01.03.02.004,Trasferimenti correnti
PRO,2.01.03.02.004,Trasferimenti correnti
REG,2.01.03.02.004,Trasferimenti correnti
SP1,2.01.03.02.004,Trasferimenti correnti
SP3,2.01.03.02.004,Trasferimenti correnti
SP8,2.01.03.02.004,Trasferimenti correnti
EPF,2.01.03.02.005,Trasferimenti correnti
MON,2.01.03.02.005,Trasferimenti correnti
PRO,2.01.03.02.005,Trasferimenti correnti
