codice_gestione,codice_voce,macro_area,macro_categoria
VCE,1.04.01.04.001,Spese correnti,Trasferimenti correnti
VCF,1.04.01.04.001,Spese correnti,Trasferimenti correnti
EPF,1.04.02.01.001,Spese correnti,Trasferimenti correnti
MON,1.04.02.01.001,Spese correnti,Trasferimenti correnti
PRO,1.04.02.01.001,Spese correnti,Trasferimenti correnti
REG,1.04.02.01.001,Spese correnti,Trasferimenti correnti
SP1,1.04.02.01.001,Spese correnti,Trasferimenti correnti
SP3,1.04.02.01.001,Spese correnti,Trasferimenti correnti
SP8,1.04.02.01.001,Spese correnti,Trasferimenti correnti
AAI,1.04.02.01.002,Spese correnti,Trasferimenti correnti
ASP,1.04.02.01.002,Spese correnti,Trasferimenti correnti
EPF,1.04.02.01.002,Spese correnti,Trasferimenti correnti
FLS,1.04.02.01.002,Spese correnti,Trasferimenti correnti
MON,1.04.02.01.002,Spese correnti,Trasferimenti correnti
PRO,1.04.02.01.002,Spese correnti,Trasferimenti correnti
REG,1.04.02.01.002,Spese correnti,Trasferimenti correnti
RIC,1.04.02.01.002,Spese correnti,Trasferimenti correnti
SP1,1.04.02.01.002,Spese correnti,Trasferimenti correnti
SP3,1.04.02.01.002,Spese correnti,Trasferimenti correnti
SP4,1.04.02.01.002,Spese correnti,Trasferimenti correnti
SP7,1.04.02.01.002,Spese correnti,Trasferimenti correnti
SP8,1.04.02.01.002,Spese correnti,Trasferimenti correnti
UNI,1.04.02.01.002,Spese correnti,Trasferimenti correnti
VCE,1.04.02.01.002,Spese correnti,Trasferimenti correnti
VCF,1.04.02.01.002,Spese correnti,Trasferimenti correnti
AAI,1.04.02.01.999,Spese correnti,Trasferimenti correnti
ASP,1.04.02.01.999,Spese correnti,Trasferimenti correnti
EPF,1.04.02.01.999,Spese correnti,Trasferimenti correnti
FLS,1.04.02.01.999,Spese correnti,Trasferimenti correnti
MON,1.04.02.01.999,Spese correnti,Trasferimenti correnti
PRO,1.04.02.01.999,Spese correnti,Trasferimenti correnti
REG,1.04.02.01.999,Spese correnti,Trasferimenti correnti
SP1,1.04.02.01.999,Spese correnti,Trasferimenti correnti
SP3,1.04.02.01.999,Spese correnti,Trasferimenti correnti
SP8,1.04.02.01.999,Spese correnti,Trasferimenti correnti
VCE,1.04.02.01.999,Spese correnti,Trasferimenti correnti
VCF,1.04.02.01.999,Spese correnti,Trasferimenti correnti
AAI,1.04.02.02.999,Spese correnti,Trasferimenti correnti
ASP,1.04.02.02.999,Spese correnti,Trasferimenti correnti
EPF,1.04.02.02.999,Spese correnti,Trasferimenti correnti
FLS,1.04.02.02.999,Spese correnti,Trasferimenti correnti
MON,1.04.02.02.999,Spese correnti,Trasferimenti correnti
PRO,1.04.02.02.999,Spese correnti,Trasferimenti correnti
REG,1.04.02.02.999,Spese correnti,Trasferimenti correnti
SP1,1.04.02.02.999,Spese correnti,Trasferimenti correnti
SP3,1.04.02.02.999,Spese correnti,Trasferimenti correnti
SP8,1.04.02.02.999,Spese correnti,Trasferimenti correnti
VCE,1.04.02.02.999,Spese correnti,Trasferimenti correnti
VCF,1.04.02.02.999,Spese correnti,Trasferimenti correnti
AAI,1.04.02.03.001,Spese correnti,Trasferimenti correnti
ASP,1.04.02.03.001,Spese correnti,Trasferimenti correnti
EPF,1.04.02.03.001,Spese correnti,Trasferimenti correnti
FLS,1.04.02.03.001,Spese correnti,Trasferimenti correnti
MON,1.04.02.03.001,Spese correnti,Trasferimenti correnti
PRO,1.04.02.03.001,Spese correnti,Trasferimenti correnti
REG,1.04.02.03.001,Spese correnti,Trasferimenti correnti
RIC,1.04.02.03.001,Spese correnti,Trasferimenti correnti
SP1,1.04.02.03.001,Spese correnti,Trasferimenti correnti
SP3,1.04.02.03.001,Spese correnti,Trasferimenti correnti
SP4,1.04.02.03.001,Spese correnti,Trasferimenti correnti
SP7,1.04.02.03.001,Spese correnti,Trasferimenti correnti
SP8,1.04.02.03.001,Spese correnti,Trasferimenti correnti
UNI,1.04.02.03.001,Spese correnti,Trasferimenti correnti
VCE,1.04.02.03.001,Spese correnti,Trasferimenti correnti
VCF,1.04.02.03.001,Spese correnti,Trasferimenti correnti
EPF,1.04.02.03.002,Spese correnti,Trasferimenti correnti
MON,1.04.02.03.002,Spese correnti,Trasferimenti correnti
PRO,1.04.02.03.002,Spese correnti,Trasferimenti correnti
REG,1.04.02.03.002,Spese correnti,Trasferimenti correnti
SP1,1.04.02.03.002,Spese correnti,Trasferimenti correnti
SP3,1.04.02.03.002,Spese correnti,Trasferimenti correnti
SP7,1.04.02.03.002,Spese correnti,Trasferimenti correnti
SP8,1.04.02.03.002,Spese correnti,Trasferimenti correnti
UNI,1.04.02.03.002,Spese correnti,Trasferimenti correnti
RIC,1.04.02.03.003,Spese correnti,Trasferimenti correnti
SP4,1.04.02.03.003,Spese correnti,Trasferimenti correnti
SP7,1.04.02.03.003,Spese correnti,Trasferimenti correnti
UNI,1.04.02.03.003,Spese correnti,Trasferimenti correnti
EPF,1.04.02.03.004,Spese correnti,Trasferimenti correnti
MON,1.04.02.03.004,Spese correnti,Trasferimenti correnti
PRO,1.04.02.03.004,Spese correnti,Trasferimenti correnti
REG,1.04.02.03.004,Spese correnti,Trasferimenti correnti
SP1,1.04.02.03.004,Spese correnti,Trasferimenti correnti
SP3,1.04.02.03.004,Spese correnti,Trasferimenti correnti
SP8,1.04.02.03.004,Spese correnti,Trasferimenti correnti
AAI,1.04.02.03.005,Spese correnti,Trasferimenti correnti
ASP,1.04.02.03.005,Spese correnti,Trasferimenti correnti
EPF,1.04.02.03.005,Spese correnti,Trasferimenti correnti
FLS,1.04.02.03.005,Spese correnti,Trasferimenti correnti
MON,1.04.02.03.005,Spese correnti,Trasferimenti correnti
PRO,1.04.02.03.005,Spese correnti,Trasferimenti correnti
REG,1.04.02.03.005,Spese correnti,Trasferimenti correnti
RIC,1.04.02.03.005,Spese correnti,Trasferimenti correnti
SP1,1.04.02.03.005,Spese correnti,Trasferimenti correnti
SP3,1.04.02.03.005,Spese correnti,Trasferimenti correnti
SP4,1.04.02.03.005,Spese correnti,Trasferimenti correnti
SP7,1.04.02.03.005,Spese correnti,Trasferimenti correnti
SP8,1.04.02.03.005,Spese correnti,Trasferimenti correnti
UNI,1.04.02.03.005,Spese correnti,Trasferimenti correnti
VCE,1.04.02.03.005,Spese correnti,Trasferimenti correnti
VCF,1.04.02.03.005,Spese correnti,Trasferimenti correnti
EPF,1.04.02.04.002,Spese correnti,Trasferimenti correnti
MON,1.04.02.04.002,Spese correnti,Trasferimenti correnti
PRO,1.04.02.04.002,Spese correnti,Trasferimenti correnti
REG,1.04.02.04.002,Spese correnti,Trasferimenti correnti
SP1,1.04.02.04.002,Spese correnti,Trasferimenti correnti
SP3,1.04.02.04.002,Spese correnti,Trasferimenti correnti
SP8,1.04.02.04.002,Spese correnti,Trasferimenti correnti
EPF,1.04.02.04.999,Spese correnti,Trasferimenti correnti
MON,1.04.02.04.999,Spese correnti,Trasferimenti correnti
PRO,1.04.02.04.999,Spese correnti,Trasferimenti correnti
REG,1.04.02.04.999,Spese correnti,Trasferimenti correnti
SP1,1.04.02.04.999,Spese correnti,Trasferimenti correnti
SP3,1.04.02.04.999,Spese correnti,Trasferimenti correnti
SP8,1.04.02.04.999,Spese correnti,Trasferimenti correnti
EPF,1.04.02.05.001,Spese correnti,Trasferimenti correnti
MON,1.04.02.05.001,Spese correnti,Trasferimenti correnti
PRO,1.04.02.05.001,Spese correnti,Trasferimenti correnti
REG,1.04.02.05.001,Spese correnti,Trasferimenti correnti
SP1,1.04.02.05.001,Spese correnti,Trasferimenti correnti
SP3,1.04.02.05.001,Spese correnti,Trasferimenti correnti
SP8,1.04.02.05.001,Spese correnti,Trasferimenti correnti
AAI,1.04.02.05.999,Spese correnti,Trasferimenti correnti
ASP,1.04.02.05.999,Spese correnti,Trasferimenti correnti
EPF,1.04.02.05.999,Spese correnti,Trasferimenti correnti
FLS,1.04.02.05.999,Spese correnti,Trasferimenti correnti
MON,1.04.02.05.999,Spese correnti,Trasferimenti correnti
PRO,1.04.02.05.999,Spese correnti,Trasferimenti correnti
REG,1.04.02.05.999,Spese correnti,Trasferimenti correnti
RIC,1.04.02.05.999,Spese correnti,Trasferimenti correnti
SP1,1.04.02.05.999,Spese correnti,Trasferimenti correnti
SP3,1.04.02.05.999,Spese correnti,Trasferimenti correnti
SP4,1.04.02.05.999,Spese correnti,Trasferimenti correnti
SP7,1.04.02.05.999,Spese correnti,Trasferimenti correnti
SP8,1.04.02.05.999,Spese correnti,Trasferimenti correnti
UNI,1.04.02.05.999,Spese correnti,Trasferimenti correnti
VCE,1.04.02.05.999,Spese correnti,Trasferimenti correnti
VCF,1.04.02.05.999,Spese correnti,Trasferimenti correnti
AAI,1.04.03.01.001,Spese correnti,Trasferimenti correnti
ASP,1.04.03.01.001,Spese correnti,Trasferimenti correnti
EPF,1.04.03.01.001,Spese correnti,Trasferimenti correnti
FLS,1.04.03.01.001,Spese correnti,Trasferimenti correnti
MON,1.04.03.01.001,Spese correnti,Trasferimenti correnti
PRO,1.04.03.01.001,Spese correnti,Trasferimenti correnti
REG,1.04.03.01.001,Spese correnti,Trasferimenti correnti
RIC,1.04.03.01.001,Spese correnti,Trasferimenti correnti
SP1,1.04.03.01.001,Spese correnti,Trasferimenti correnti
SP3,1.04.03.01.001,Spese correnti,Trasferimenti correnti
SP4,1.04.03.01.001,Spese correnti,Trasferimenti correnti
SP7,1.04.03.01.001,Spese correnti,Trasferimenti correnti
SP8,1.04.03.01.001,Spese correnti,Trasferimenti correnti
UNI,1.04.03.01.001,Spese correnti,Trasferimenti correnti
VCE,1.04.03.01.001,Spese correnti,Trasferimenti correnti
VCF,1.04.03.01.001,Spese correnti,Trasferimenti correnti
AAI,1.04.03.02.001,Spese correnti,Trasferimenti correnti
ASP,1.04.03.02.001,Spese correnti,Trasferimenti correnti
EPF,1.04.03.02.001,Spese correnti,Trasferimenti correnti
FLS,1.04.03.02.001,Spese correnti,Trasferimenti correnti
MON,1.04.03.02.001,Spese correnti,Trasferimenti correnti
PRO,1.04.03.02.001,Spese correnti,Trasferimenti correnti
REG,1.04.03.02.001,Spese correnti,Trasferimenti correnti
RIC,1.04.03.02.001,Spese correnti,Trasferimenti correnti
SP1,1.04.03.02.001,Spese correnti,Trasferimenti correnti
SP3,1.04.03.02.001,Spese correnti,Trasferimenti correnti
SP4,1.04.03.02.001,Spese correnti,Trasferimenti correnti
SP7,1.04.03.02.001,Spese correnti,Trasferimenti correnti
SP8,1.04.03.02.001,Spese correnti,Trasferimenti correnti
UNI,1.04.03.02.001,Spese correnti,Trasferimenti correnti
VCE,1.04.03.02.001,Spese correnti,Trasferimenti correnti
VCF,1.04.03.02.001,Spese correnti,Trasferimenti correnti
AAI,1.04.03.99.999,Spese correnti,Trasferimenti correnti
ASP,1.04.03.99.999,Spese correnti,Trasferimenti correnti
EPF,1.04.03.99.999,Spese correnti,Trasferimenti correnti
FLS,1.04.03.99.999,Spese correnti,Trasferimenti correnti
MON,1.04.03.99.999,Spese correnti,Trasferimenti correnti
PRO,1.04.03.99.999,Spese correnti,Trasferimenti correnti
REG,1.04.03.99.999,Spese correnti,Trasferimenti correnti
RIC,1.04.03.99.999,Spese correnti,Trasferimenti correnti
SP1,1.04.03.99.999,Spese correnti,Trasferimenti correnti
SP3,1.04.03.99.999,Spese correnti,Trasferimenti correnti
SP4,1.04.03.99.999,Spese correnti,Trasferimenti correnti
SP7,1.04.03.99.999,Spese correnti,Trasferimenti correnti
SP8,1.04.03.99.999,Spese correnti,Trasferimenti correnti
UNI,1.04.03.99.999,Spese correnti,Trasferimenti correnti
VCE,1.04.03.99.999,Spese correnti,Trasferimenti correnti
VCF,1.04.03.99.999,Spese correnti,Trasferimenti correnti
AAI,1.04.04.01.001,Spese correnti,Trasferimenti correnti
ASP,1.04.04.01.001,Spese correnti,Trasferimenti correnti
EPF,1.04.04.01.001,Spese correnti,Trasferimenti correnti
FLS,1.04.04.01.001,Spese correnti,Trasferimenti correnti
MON,1.04.04.01.001,Spese correnti,Trasferimenti correnti
PRO,1.04.04.01.001,Spese correnti,Trasferimenti correnti
REG,1.04.04.01.001,Spese correnti,Trasferimenti correnti
RIC,1.04.04.01.001,Spese correnti,Trasferimenti correnti
SP1,1.04.04.01.001,Spese correnti,Trasferimenti correnti
SP3,1.04.04.01.001,Spese correnti,Trasferimenti correnti
SP4,1.04.04.01.001,Spese correnti,Trasferimenti correnti
SP7,1.04.04.01.001,Spese correnti,Trasferimenti correnti
SP8,1.04.04.01.001,Spese correnti,Trasferimenti correnti
UNI,1.04.04.01.001,Spese correnti,Trasferimenti correnti
VCE,1.04.04.01.001,Spese correnti,Trasferimenti correnti
VCF,1.04.04.01.001,Spese correnti,Trasferimenti correnti
AAI,1.04.05.04.001,Spese correnti,Trasferimenti correnti
ASP,1.04.05.04.001,Spese correnti,Trasferimenti correnti
EPF,1.04.05.04.001,Spese correnti,Trasferimenti correnti
FLS,1.04.05.04.001,Spese correnti,Trasferimenti correnti
MON,1.04.05.04.001,Spese correnti,Trasferimenti correnti
PRO,1.04.05.04.001,Spese correnti,Trasferimenti correnti
REG,1.04.05.04.001,Spese correnti,Trasferimenti correnti
RIC,1.04.05.04.001,Spese correnti,Trasferimenti correnti
SP1,1.04.05.04.001,Spese correnti,Trasferimenti correnti
SP3,1.04.05.04.001,Spese correnti,Trasferimenti correnti
SP4,1.04.05.04.001,Spese correnti,Trasferimenti correnti
SP7,1.04.05.04.001,Spese correnti,Trasferimenti correnti
SP8,1.04.05.04.001,Spese correnti,Trasferimenti correnti
UNI,1.04.05.04.001,Spese correnti,Trasferimenti correnti
VCE,1.04.05.04.001,Spese correnti,Trasferimenti correnti
VCF,1.04.05.04.001,Spese correnti,Trasferimenti correnti
AAI,1.04.05.99.001,Spese correnti,Trasferimenti correnti
ASP,1.04.05.99.001,Spese correnti,Trasferimenti correnti
EPF,1.04.05.99.001,Spese correnti,Trasferimenti correnti
FLS,1.04.05.99.001,Spese correnti,Trasferimenti correnti
MON,1.04.05.99.001,Spese correnti,Trasferimenti correnti
PRO,1.04.05.99.001,Spese correnti,Trasferimenti correnti
REG,1.04.05.99.001,Spese correnti,Trasferimenti correnti
RIC,1.04.05.99.001,Spese correnti,Trasferimenti correnti
SP1,1.04.05.99.001,Spese correnti,Trasferimenti correnti
SP3,1.04.05.99.001,Spese correnti,Trasferimenti correnti
SP4,1.04.05.99.001,Spese correnti,Trasferimenti correnti
SP7,1.04.05.99.001,Spese correnti,Trasferimenti correnti
SP8,1.04.05.99.001,Spese correnti,Trasferimenti correnti
UNI,1.04.05.99.001,Spese correnti,Trasferimenti correnti
VCE,1.04.05.99.001,Spese correnti,Trasferimenti correnti
VCF,1.04.05.99.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.01.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.01.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.01.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.01.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.01.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.01.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.01.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.02.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.02.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.02.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.02.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.02.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.02.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.02.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.03.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.03.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.03.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.03.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.03.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.03.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.03.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.04.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.04.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.04.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.04.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.04.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.04.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.04.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.05.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.05.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.05.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.05.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.05.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.05.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.05.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.06.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.06.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.06.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.06.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.06.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.06.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.06.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.07.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.07.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.07.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.07.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.07.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.07.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.07.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.08.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.08.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.08.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.08.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.08.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.08.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.08.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.09.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.09.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.09.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.09.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.09.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.09.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.09.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.10.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.10.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.10.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.10.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.10.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.10.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.10.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.11.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.11.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.11.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.11.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.11.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.11.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.11.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.12.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.12.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.12.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.12.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.12.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.12.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.12.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.13.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.13.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.13.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.13.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.13.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.13.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.13.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.14.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.14.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.14.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.14.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.14.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.14.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.14.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.15.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.15.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.15.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.15.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.15.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.15.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.15.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.16.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.16.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.16.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.16.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.16.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.16.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.16.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.17.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.17.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.17.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.17.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.17.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.17.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.17.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.18.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.18.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.18.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.18.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.18.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.18.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.18.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.19.001,Spese correnti,Trasferimenti correnti
MON,1.05.01.19.001,Spese correnti,Trasferimenti correnti
PRO,1.05.01.19.001,Spese correnti,Trasferimenti correnti
REG,1.05.01.19.001,Spese correnti,Trasferimenti correnti
SP1,1.05.01.19.001,Spese correnti,Trasferimenti correnti
SP3,1.05.01.19.001,Spese correnti,Trasferimenti correnti
SP8,1.05.01.19.001,Spese correnti,Trasferimenti correnti
EPF,1.05.01.99.999,Spese correnti,Trasferimenti correnti
MON,1.05.01.99.999,Spese correnti,Trasferimenti correnti
PRO,1.05.01.99.999,Spese correnti,Trasferimenti correnti
REG,1.05.01.99.999,Spese correnti,Trasferimenti correnti
SP1,1.05.01.99.999,Spese correnti,Trasferimenti correnti
SP3,1.05.01.99.999,Spese correnti,Trasferimenti correnti
SP8,1.05.01.99.999,Spese correnti,Trasferimenti correnti
EPF,1.05.02.01.001,Spese correnti,Trasferimenti correnti
MON,1.05.02.01.001,Spese correnti,Trasferimenti correnti
PRO,1.05.02.01.001,Spese correnti,Trasferimenti correnti
REG,1.05.02.01.001,Spese correnti,Trasferimenti correnti
SP1,1.05.02.01.001,Spese correnti,Trasferimenti correnti
SP3,1.05.02.01.001,Spese correnti,Trasferimenti correnti
SP8,1.05.02.01.001,Spese correnti,Trasferimenti correnti
EPF,1.05.02.02.001,Spese correnti,Trasferimenti correnti
MON,1.05.02.02.001,Spese correnti,Trasferimenti correnti
PRO,1.05.02.02.001,Spese correnti,Trasferimenti correnti
REG,1.05.02.02.001,Spese correnti,Trasferimenti correnti
SP1,1.05.02.02.001,Spese correnti,Trasferimenti correnti
SP3,1.05.02.02.001,Spese correnti,Trasferimenti correnti
SP8,1.05.02.02.001,Spese correnti,Trasferimenti correnti
EPF,1.05.02.03.001,Spese correnti,Trasferimenti correnti
MON,1.05.02.03.001,Spese correnti,Trasferimenti correnti
PRO,1.05.02.03.001,Spese correnti,Trasferimenti correnti
REG,1.05.02.03.001,Spese correnti,Trasferimenti correnti
SP1,1.05.02.03.001,Spese correnti,Trasferimenti correnti
SP3,1.05.02.03.001,Spese correnti,Trasferimenti correnti
SP8,1.05.02.03.001,Spese correnti,Trasferimenti correnti
EPF,1.05.02.04.001,Spese correnti,Trasferimenti correnti
MON,1.05.02.04.001,Spese correnti,Trasferimenti correnti
PRO,1.05.02.04.001,Spese correnti,Trasferimenti correnti
REG,1.05.02.04.001,Spese correnti,Trasferimenti correnti
SP1,1.05.02.04.001,Spese correnti,Trasferimenti correnti
SP3,1.05.02.04.001,Spese correnti,Trasferimenti correnti
SP8,1.05.02.04.001,Spese correnti,Trasferimenti correnti
EPF,1.05.02.05.001,Spese correnti,Trasferimenti correnti
MON,1.05.02.05.001,Spese correnti,Trasferimenti correnti
PRO,1.05.02.05.001,Spese correnti,Trasferimenti correnti
REG,1.05.02.05.001,Spese correnti,Trasferimenti correnti
SP1,1.05.02.05.001,Spese correnti,Trasferimenti correnti
SP3,1.05.02.05.001,Spese correnti,Trasferimenti correnti
SP8,1.05.02.05.001,Spese correnti,Trasferimenti correnti
EPF,1.05.02.98.999,Spese correnti,Trasferimenti correnti
MON,1.05.02.98.999,Spese correnti,Trasferimenti correnti
PRO,1.05.02.98.999,Spese correnti,Trasferimenti correnti
REG,1.05.02.98.999,Spese correnti,Trasferimenti correnti
SP1,1.05.02.98.999,Spese correnti,Trasferimenti correnti
SP3,1.05.02.98.999,Spese correnti,Trasferimenti correnti
SP8,1.05.02.98.999,Spese correnti,Trasferimenti correnti
EPF,1.05.02.99.999,Spese correnti,Trasferimenti correnti
MON,1.05.02.99.999,Spese correnti,Trasferimenti correnti
PRO,1.05.02.99.999,Spese correnti,Trasferimenti correnti
REG,1.05.02.99.999,Spese correnti,Trasferimenti correnti
SP1,1.05.02.99.999,Spese correnti,Trasferimenti correnti
SP3,1.05.02.99.999,Spese correnti,Trasferimenti correnti
SP8,1.05.02.99.999,Spese correnti,Trasferimenti correnti
EPF,1.06.01.01.002,Spese correnti,Trasferimenti correnti
MON,1.06.01.01.002,Spese correnti,Trasferimenti correnti
PRO,1.06.01.01.002,Spese correnti,Trasferimenti correnti
REG,1.06.01.01.002,Spese correnti,Trasferimenti correnti
SP1,1.06.01.01.002,Spese correnti,Trasferimenti correnti
SP3,1.06.01.01.002,Spese correnti,Trasferimenti correnti
SP8,1.06.01.01.002,Spese correnti,Trasferimenti correnti
EPF,1.06.01.01.003,Spese correnti,Trasferimenti correnti
MON,1.06.01.01.003,Spese correnti,Trasferimenti correnti
PRO,1.06.01.01.003,Spese correnti,Trasferimenti correnti
REG,1.06.01.01.003,Spese correnti,Trasferimenti correnti
SP1,1.06.01.01.003,Spese correnti,Trasferimenti correnti
SP3,1.06.01.01.003,Spese correnti,Trasferimenti correnti
SP8,1.06.01.01.003,Spese correnti,Trasferimenti correnti
EPF,1.07.01.01.001,Spese correnti,Interessi passivi
MON,1.07.01.01.001,Spese correnti,Interessi passivi
