codice_gestione,codice_voce,macro_area,macro_categoria
STA,067,Spese correnti,Personale
STA,068,Spese correnti,Personale
STA,069,Spese correnti,Acquisto beni e servizi
STA,070,Spese correnti,Acquisto beni e servizi
STA,071,Spese correnti,Altre spese
STA,072,Spese correnti,Altre spese
STA,073,Spese correnti,Acquisto beni e servizi
STA,075,Spese correnti,Acquisto beni e servizi
STA,076,Spese correnti,Altre spese
STA,078,Spese correnti,Altre spese
STA,079,Spese correnti,Acquisto beni e servizi
STA,080,Spese correnti,Altre spese
STA,081,Spese correnti,Altre spese
STA,082,Spese correnti,Altre spese
STA,083,Spese correnti,Altre spese
STA,084,Spese correnti,Altre spese
STA,085,Spese correnti,Altre spese
STA,087,Spese correnti,Altre spese
STA,088,Spese correnti,Altre spese
STA,089,Spese correnti,Acquisto beni e servizi
STA,090,Spese correnti,Altre spese
STA,091,Spese correnti,Altre spese
STA,092,Spese correnti,Personale
STA,093,Spese correnti,Altre spese
STA,094,Spese correnti,Altre spese
STA,098,Spese correnti,Imposte e tasse
STA,099,Spese correnti,Altre spese
AAI,1.01.01.01.001,Spese correnti,Personale
ASP,1.01.01.01.001,Spese correnti,Personale
EPF,1.01.01.01.001,Spese correnti,Personale
FLS,1.01.01.01.001,Spese correnti,Personale
MON,1.01.01.01.001,Spese correnti,Personale
PRO,1.01.01.01.001,Spese correnti,Personale
REG,1.01.01.01.001,Spese correnti,Personale
RIC,1.01.01.01.001,Spese correnti,Personale
SP1,1.01.01.01.001,Spese correnti,Personale
SP3,1.01.01.01.001,Spese correnti,Personale
SP4,1.01.01.01.001,Spese correnti,Personale
SP7,1.01.01.01.001,Spese correnti,Personale
SP8,1.01.01.01.001,Spese correnti,Personale
UNI,1.01.01.01.001,Spese correnti,Personale
VCE,1.01.01.01.001,Spese correnti,Personale
VCF,1.01.01.01.001,Spese correnti,Personale
AAI,1.01.01.01.002,Spese correnti,Personale
ASP,1.01.01.01.002,Spese correnti,Personale
EPF,1.01.01.01.002,Spese correnti,Personale
MON,1.01.01.01.002,Spese correnti,Personale
PRO,1.01.01.01.002,Spese correnti,Personale
REG,1.01.01.01.002,Spese correnti,Personale
RIC,1.01.01.01.002,Spese correnti,Personale
SP1,1.01.01.01.002,Spese correnti,Personale
SP3,1.01.01.01.002,Spese correnti,Personale
SP4,1.01.01.01.002,Spese correnti,Personale
SP7,1.01.01.01.002,Spese correnti,Personale
SP8,1.01.01.01.002,Spese correnti,Personale
UNI,1.01.01.01.002,Spese correnti,Personale
VCF,1.01.01.01.002,Spese correnti,Personale
AAI,1.01.01.01.003,Spese correnti,Personale
ASP,1.01.01.01.003,Spese correnti,Personale
EPF,1.01.01.01.003,Spese correnti,Personale
MON,1.01.01.01.003,Spese correnti,Personale
PRO,1.01.01.01.003,Spese correnti,Personale
REG,1.01.01.01.003,Spese correnti,Personale
RIC,1.01.01.01.003,Spese correnti,Personale
SP1,1.01.01.01.003,Spese correnti,Personale
SP3,1.01.01.01.003,Spese correnti,Personale
SP4,1.01.01.01.003,Spese correnti,Personale
SP7,1.01.01.01.003,Spese correnti,Personale
SP8,1.01.01.01.003,Spese correnti,Personale
UNI,1.01.01.01.003,Spese correnti,Personale
VCF,1.01.01.01.003,Spese correnti,Personale
AAI,1.01.01.01.004,Spese correnti,Personale
ASP,1.01.01.01.004,Spese correnti,Personale
EPF,1.01.01.01.004,Spese correnti,Personale
MON,1.01.01.01.004,Spese correnti,Personale
PRO,1.01.01.01.004,Spese correnti,Personale
REG,1.01.01.01.004,Spese correnti,Personale
RIC,1.01.01.01.004,Spese correnti,Personale
SP1,1.01.01.01.004,Spese correnti,Personale
SP3,1.01.01.01.004,Spese correnti,Personale
SP4,1.01.01.01.004,Spese correnti,Personale
SP7,1.01.01.01.004,Spese correnti,Personale
SP8,1.01.01.01.004,Spese correnti,Personale
UNI,1.01.01.01.004,Spese correnti,Personale
VCF,1.01.01.01.004,Spese correnti,Personale
AAI,1.01.01.01.005,Spese correnti,Personale
ASP,1.01.01.01.005,Spese correnti,Personale
EPF,1.01.01.01.005,Spese correnti,Personale
FLS,1.01.01.01.005,Spese correnti,Personale
MON,1.01.01.01.005,Spese correnti,Personale
PRO,1.01.01.01.005,Spese correnti,Personale
REG,1.01.01.01.005,Spese correnti,Personale
RIC,1.01.01.01.005,Spese correnti,Personale
SP1,1.01.01.01.005,Spese correnti,Personale
SP3,1.01.01.01.005,Spese correnti,Personale
SP4,1.01.01.01.005,Spese correnti,Personale
SP7,1.01.01.01.005,Spese correnti,Personale
SP8,1.01.01.01.005,Spese correnti,Personale
UNI,1.01.01.01.005,Spese correnti,Personale
VCE,1.01.01.01.005,Spese correnti,Personale
VCF,1.01.01.01.005,Spese correnti,Personale
AAI,1.01.01.01.006,Spese correnti,Personale
ASP,1.01.01.01.006,Spese correnti,Personale
EPF,1.01.01.01.006,Spese correnti,Personale
MON,1.01.01.01.006,Spese correnti,Personale
PRO,1.01.01.01.006,Spese correnti,Personale
REG,1.01.01.01.006,Spese correnti,Personale
RIC,1.01.01.01.006,Spese correnti,Personale
SP1,1.01.01.01.006,Spese correnti,Personale
SP3,1.01.01.01.006,Spese correnti,Personale
SP4,1.01.01.01.006,Spese correnti,Personale
SP7,1.01.01.01.006,Spese correnti,Personale
SP8,1.01.01.01.006,Spese correnti,Personale
UNI,1.01.01.01.006,Spese correnti,Personale
VCF,1.01.01.01.006,Spese correnti,Personale
AAI,1.01.01.01.007,Spese correnti,Personale
ASP,1.01.01.01.007,Spese correnti,Personale
EPF,1.01.01.01.007,Spese correnti,Personale
MON,1.01.01.01.007,Spese correnti,Personale
PRO,1.01.01.01.007,Spese correnti,Personale
REG,1.01.01.01.007,Spese correnti,Personale
RIC,1.01.01.01.007,Spese correnti,Personale
SP1,1.01.01.01.007,Spese correnti,Personale
SP3,1.01.01.01.007,Spese correnti,Personale
SP4,1.01.01.01.007,Spese correnti,Personale
SP7,1.01.01.01.007,Spese correnti,Personale
SP8,1.01.01.01.007,Spese correnti,Personale
UNI,1.01.01.01.007,Spese correnti,Personale
VCF,1.01.01.01.007,Spese correnti,Personale
AAI,1.01.01.01.008,Spese correnti,Personale
ASP,1.01.01.01.008,Spese correnti,Personale
EPF,1.01.01.01.008,Spese correnti,Personale
MON,1.01.01.01.008,Spese correnti,Personale
PRO,1.01.01.01.008,Spese correnti,Personale
REG,1.01.01.01.008,Spese correnti,Personale
RIC,1.01.01.01.008,Spese correnti,Personale
SP1,1.01.01.01.008,Spese correnti,Personale
SP3,1.01.01.01.008,Spese correnti,Personale
SP4,1.01.01.01.008,Spese correnti,Personale
SP7,1.01.01.01.008,Spese correnti,Personale
SP8,1.01.01.01.008,Spese correnti,Personale
UNI,1.01.01.01.008,Spese correnti,Personale
VCF,1.01.01.01.008,Spese correnti,Personale
AAI,1.01.01.01.009,Spese correnti,Personale
ASP,1.01.01.01.009,Spese correnti,Personale
EPF,1.01.01.01.009,Spese correnti,Personale
MON,1.01.01.01.009,Spese correnti,Personale
PRO,1.01.01.01.009,Spese correnti,Personale
REG,1.01.01.01.009,Spese correnti,Personale
RIC,1.01.01.01.009,Spese correnti,Personale
